OGE
CMA
ORCL
CMCSA
OXY
CMI
PBR
CNC
PCAR
PEP
PCH
COF
CNDT
COP
PFE
PG
COTY
COST
PKG
CPRI
PRGO
PSA
CR
CRI
PSEC
CRM
PUK
QCOM
CSCO
CTSH
CTVA
RAD
RCI
RDSA
CVS
CVX
CY
RDY
RHHBY
RIG
DAN
DBD
DD
RMD
ROP
DGX
RPM
DDD
DHR
RRD
RTN
DIS
RY
DLR
DOV
S
SBUX
DOW
DUK
DRI
SCHW
DXC
SCI
EAT
SHW
E
SJM
EBAY
SLB
