AAP
JNJ
JCI
AA
A
JPM
ABB
AAPL
JWN
ABBV
K
KBR
ADBE
ABT
KEY
ACM
KHC
KMT
KO
ADP
KMX
ADM
KR
KRO
AEG
AEP
KSS
KSU
LANC
AES
AFL
LAZ
AGCO
LB
LCI
AKAM
AIG
AL
LEG
LEN
LH
ALB
ALL
LLL
ALV
LLY
LOW
AMAT
LUV
AMGN
AMCR
M
AMN
MBI
AMTD
AMX
MBT
MCD
AMZN
MCK
ANF
MDT
MEOH
APD
AQN
MET
ATR
MFC
MGA
AVGO
AXP
BA
MLHR
MGM
MMC
BABA
BAC
BASFY
MNK
MMM
MNST
BAX
BBY
BC
MPC
MO
MRK
BCE
BDX
BEN
MRVL
MS
MSFT
BG
BHE
MSM
MTZ
BHP
BIDU
BIG
MU
MXIM
MYL
BIIB
BK
BKH
NAVI
NBL
NCR
BKNG
BMY
NDAQ
NDSN
BP
BUD
BX
NEE
NFG
NKE
C
CAG
NOK
NOV
NSC
CCJ
NTR
CCL
NTRS
CDNS
CERN
NVDA
CHKP
NVS
CL
NWL
CLF
CLX
OCN
CM
OGE
CMA
ORCL
CMCSA
OXY
CMI
PBR
CNC
PCAR
PEP
PCH
COF
CNDT
COP
PFE
PG
COTY
COST
PKG
CPRI
PRGO
PSA
CR
CRI
PSEC
CRM
PUK
QCOM
CSCO
CTSH
CTVA
RAD
RCI
RDSA
CVS
CVX
CY
RDY
RHHBY
RIG
DAN
DBD
DD
RMD
ROP
DGX
RPM
DDD
DHR
RRD
RTN
DIS
RY
DLR
DOV
S
SBUX
DOW
DUK
DRI
SCHW
DXC
SCI
EAT
SHW
E
SJM
EBAY
SLB
SLM
EC
ECL
SMG
EIX
SNPS
EMN
EMR
SPG
ENB
SRCL
ENS
STT
STX
ESS
ETN
STZ
ETR
SVC
EVRG
SWKS
EXP
SWN
F
SYF
SYK
FANG
FB
SYY
FBHS
T
FCX
TEN
FDX
TEVA
FFIV
FISV
TFC
TGT
FITB
THC
THO
FLO
TJX
FSLR
TM
FTI
TMO
GCI
TRI
GE
TRV
TSN
TTM
GILD
GIS
TWO
GLW
TXN
UGI
GME
GOLD
UMPQ
GOOGL
UNH
UN
GPC
GPS
UNP
GSK
UPS
GT
HAE
URI
HAIN
USB
USFD
HAL
HAS
UTHR
VALE
HBI
VAR
HD
HE
VIV
HLF
HON
VLO
VOD
VWDRY
HPE
HPQ
WAFD
VZ
HRB
WBA
HSBC
HSY
WEN
HUN
WEC
WFC
IBM
ICE
ICLR
WIT
WHR
WLTW
IDA
IFF
WM
IIVI
WMB
INFY
INTC
WRB
WMT
IP
WRK
IPGP
IR
WSM
WY
XEC
ISRG
ITRI
XOM
XLNX
XRAY
ITW
J
XRX
JAZZ
ZBH
YUM
JBL
