EC
ECL
SMG
EIX
SNPS
EMN
EMR
SPG
ENB
SRCL
ENS
STT
STX
ESS
ETN
STZ
ETR
SVC
EVRG
SWKS
EXP
SWN
F
SYF
SYK
FANG
FB
SYY
FBHS
T
FCX
TEN
FDX
TEVA
FFIV
FISV
TFC
TGT
FITB
THC
THO
FLO
TJX
FSLR
TM
FTI
TMO
GCI
TRI
GE
TRV
TSN
TTM
GILD
GIS
TWO
GLW
TXN
UGI
GME
GOLD
UMPQ
GOOGL
UNH
UN
GPC
GPS
UNP
GSK
