A
AA
AAP
AAPL
ABB
ABBV
ABT
ACM
ADBE
ADM
ADP
ADS
AEG
AEO
AEP
AES
AFL
AGCO
AIG
AKAM
AL
ALB
ALL
ALV
AMAT
AMCR
AMGN
AMN
AMTD
AMX
AMZN
ANF
APA
APD
AQN
ATR
AVGO
AXP
BA
BABA
BAC
BASFY
BAX
BBY
BC
BCE
BDX
BEN
BG
BGS
BHE
BHP
BIDU
BIG
BIIB
BK
BKH
BKNG
BMY
BNPQY
BP
BUD
BX
C
CAG
CBD
CBL
CCJ
CCL
CDNS
CERN
CHKP
CL
CLF
CLX
CM
CMA
CMCSA
CMI
CNC
CNDT
COF
COP
COST
COTY
CPRI
CR
CRI
CRM
CSCO
CTSH
CTVA
CVS
CVX
CY
DAN
DBD
DD
DDD
DGX
DHR
DIS
DLR
DOV
DOW
DRI
DUK
DXC
E
EAT
EBAY
EC
ECL
EIX
EMN
EMR
ENB
ENS
ESS
ETN
ETR
EVRG
EXP
F
FANG
FB
FBHS
FCX
FDX
FFIV
FISV
FITB
FIZZ
FLO
FSLR
FTI
GCI
GE
GES
GILD
GIS
GLW
GME
GOLD
GOOGL
GPC
GPS
GSK
GT
HAE
HAIN
HAL
HAS
HBI
HD
HE
HLF
HON
HP
HPE
HPQ
HRB
HSBC
HSY
HUN
IBM
ICE
ICLR
IDA
IFF
IIVI
INFY
INTC
IP
IPGP
IR
IRM
ISRG
ITRI
ITT
ITW
J
JAZZ
JBL
ZUMZ


























































































































































































SP5
