AAP
JNJ
JCI
AA
A
JPM
ABB
AAPL
JWN
ABBV
K
KBR
ADBE
ABT
KEY
ACM
KHC
KMT
KO
ADP
KMX
ADM
KR
KRO
AEG
AEP
KSS
KSU
LANC
AES
AFL
LAZ
AGCO
LB
LCI
AKAM
AIG
AL
LEG
LEN
LH
ALB
ALL
LLL
ALV
LLY
LOW
AMAT
LUV
AMGN
AMCR
M
AMN
MBI
AMTD
AMX
MBT
MCD
AMZN
MCK
ANF
MDT
MEOH
APD
AQN
MET
ATR
MFC
MGA
